ref_area,exposure,gdp,cluster
ABW,0.0,29005.998007523158,1
AFG,61.24204160000001,484.42893666327234,0
AGO,28.353210058000002,2707.468532820648,0
AIA,0.0,20050.56245641974,1
ALB,49.1013706,5364.758399650494,0
AND,0.0,40827.776056897164,1
ARE,84.42367200000001,43153.2827824669,0
ARG,77.841463,11150.9835169018,0
ARM,57.5654224,4546.961531153272,0
ATG,0.0,16398.279227880317,1
AUS,72.666998852,58522.61423279487,1
AUT,17.2039516,50333.16819726418,1
AZE,69.6043928,4570.680222963909,0
BEL,28.070313999999996,46952.260191844354,1
BEN,66.2205378,1212.464567180638,0
BFA,98.455848,797.7751616915256,0
BGD,90.619338274,2102.072687229424,0
BGR,33.7174394,9921.838917118162,1
BHR,4.2276122,25139.936455909577,1
BIH,30.952399800000002,6071.794247696113,1
BLR,5.85065696,6395.679496885404,1
BLZ,32.601503246200004,5973.552343451126,0
BOL,34.494594468,3327.4817431010024,0
BRA,61.28804100000001,8440.663358763391,0
BRB,0.0,17788.0631699156,1
BRN,43.83178568,29760.78585294706,1
BTN,0.0,3163.123135209964,1
BWA,94.147515198,6600.154896826219,0
CAF,94.6891174,434.72860336298817,0
CAN,5.78196274,46714.12675709158,1
CHE,1.283968,87134.35579529656,1
CHL,0.8484792000000001,14973.839909138322,1
CHN,77.687884746,10264.510047631302,0
CIV,70.13436540000001,2283.494729704572,0
CMR,52.208738575999995,1564.1862529334762,0
COD,51.256796088399994,510.67567899329094,0
COG,31.6199088,2191.409637049734,0
COK,0.0,19530.07155213206,1
COL,29.6106896,6216.353925202087,1
COM,0.0,1523.507136756466,1
CPV,0.0,3245.452139341788,1
CRI,6.265794059999999,12355.189174642921,1
CUB,40.074104240000004,9453.910639749658,0
CYM,0.0,84986.45917926592,1
CYP,47.8944196,29361.18934499076,1
CZE,8.5710128,23706.05027753764,1
DEU,25.3376384,47425.7934124764,1
DJI,52.972569724,2972.317114974634,0
DMA,0.0,7679.6725985534695,1
DNK,0.0,61712.805478142676,1
DOM,13.083224079999999,7855.733314178486,1
DZA,86.0995716,3876.6383847455136,0
ECU,1.43589624,6082.26879600352,1
EGY,97.3630998,2936.877231733562,0
ERI,82.76431958,583.6196050435218,0
ESP,61.064793626000004,29035.40870759808,0
EST,0.0,23721.460823727502,1
ETH,19.08802742,778.4608715640504,1
FIN,0.0,49581.26075034982,1
FJI,0.0,5475.506695461276,1
FRA,45.2589264328,41135.34601748364,1
GAB,10.198616586,7357.297512440446,1
GBR,0.0,42719.81383087474,1
GEO,67.042056313,4557.8932844307565,0
GHA,66.2042802,2186.315210552134,0
GIN,86.1272286,1018.0990919021885,0
GMB,27.763531,702.8815883844368,0
GNB,66.7457832,720.8116224336061,0
GRC,73.71074796,19317.47389268614,0
GRD,0.0,9231.85512921561,1
GRL,0.0,54449.209950763805,1
GTM,22.289202806,4507.817551750411,1
GUY,9.665503952,7130.964595594409,1
HND,64.98469526,2501.240810565802,0
HRV,38.2365752,14903.389996461341,1
HTI,14.8265728,1443.681737604698,1
HUN,54.84015000000001,16534.798112428758,0
IDN,25.12056628,4024.1311592125558,1
IND,95.3788676,2041.111515569286,0
IRL,0.0,83809.59087357039,1
IRN,90.23042339999999,6220.476157934678,0
IRQ,99.51219556,4977.061859661804,0
ISL,0.0,68697.8083724449,1
ISR,77.744126162,46753.354811582096,0
ITA,52.969592160000005,33752.49996808318,1
JAM,25.775797999999998,5314.931521636094,1
JOR,94.83877606,4074.883259818488,0
JPN,52.828590600000005,39890.266269594504,1
KAZ,65.8281506,9507.523483301373,0
KEN,19.56026512,1902.012209526038,1
KGZ,55.659899599999996,1308.059525920122,0
KHM,92.06605698,1551.246673173442,0
KIR,0.0,1550.02444380816,1
KNA,0.0,20915.37382842098,1
KOR,60.091463999999995,32686.35253489872,0
KWT,93.501444,29676.90501880736,0
LAO,77.72293331,2554.3876627432,0
LBN,46.808294000000004,8116.627926733728,0
LBR,34.76225422,522.7631192469478,0
LBY,91.59421466,9148.164845079209,0
LCA,0.0,10717.758194432105,1
LKA,44.31009718,3932.671607957658,0
LSO,0.0,1059.5073817873376,1
LTU,0.0,19669.98842810344,1
LVA,0.0,18161.532713781682,1
MAR,83.7795666,3518.5556631440936,0
MDA,37.3947106,3769.983907369344,0
MDG,36.134731020000004,498.1224967508468,0
MDV,0.0,9930.761556022266,1
MEX,37.341662,9627.442398214887,0
MHL,0.0,5287.628195769764,1
MKD,58.97234039999999,5931.142583125086,0
MLI,98.30077800000001,837.9347391888725,0
MLT,0.0,30713.319435305842,1
MMR,89.60683320000001,1331.51642584809,0
MNE,15.530342,8408.818782327542,1
MNG,9.351514316,4163.850135159564,1
MOZ,81.8744378,484.2601354113746,0
MRT,62.797500372,1851.81444662067,0
MSR,0.0,14578.17617916372,1
MUS,0.0,10151.431084968313,1
MWI,54.934071859999996,568.5980243506659,0
MYS,47.222554439999996,10688.12987576193,0
NAM,87.4303762,5068.810676266184,0
NCL,0.0,33642.48412519454,1
NER,98.89407800000001,557.6579240638505,0
NGA,89.9117052,2096.91978799356,0
NIC,60.73401572,1981.6098252840443,0
NLD,19.303058,52762.68971450906,1
NOR,0.0,78006.68159842472,1
NPL,55.3379318,1134.293620098246,0
NRU,0.0,11398.61896398138,1
NZL,0.0,44226.50775637016,1
OMN,78.590104898,18607.879542161238,0
PAK,96.73588354,1420.49776906463,0
PAN,9.0607422,14757.436743956141,1
PER,9.693490374,6644.443859152362,1
PHL,35.39781584,3274.182027387742,0
PLW,0.0,14725.238515187439,1
PNG,5.535945718,2560.72393679292,1
POL,11.1519072,15543.980575166821,1
PRK,31.857415200000002,660.1459996090359,0
PRT,27.001206237999998,23047.568673096677,1
PRY,88.54330501,5915.069953945244,0
PYF,0.0,19841.4658899297,1
QAT,73.459848,61522.72065975596,1
ROU,42.30030646,12712.21908516434,0
RUS,25.667027228999995,11261.06183460452,1
SAU,95.32556667399999,21722.51038477972,0
SDN,97.9312130842,1304.3531014396817,0
SEN,73.66860872,1491.902263684398,0
SGP,0.0,62724.538498760805,1
SLB,0.0,2332.252490036966,1
SLE,68.05483274000001,502.2640858648894,0
SLV,92.15480892000001,4173.355952425534,0
SMR,0.0,47297.44132696136,1
SOM,55.8900626,405.2745953099202,0
SRB,63.593934000000004,7116.542368929207,0
SSD,98.917546452,382.0893566806214,0
STP,0.0,2091.376510417898,1
SUR,82.95901974,6265.029810389686,0
SVK,22.397546,19479.84834700094,1
SVN,21.693120999999998,25818.489359516818,1
SWE,0.0,54786.14194112964,1
SYC,0.0,13897.393195028202,1
SYR,93.0623296,1079.481399267895,0
TCA,0.0,24415.43182962522,1
TCD,99.375580085,933.7959681606217,0
TGO,60.80112025999999,869.6178831804503,0
THA,90.7397864,7051.319913698739,0
TJK,68.8425402,866.6874571703696,0
TKM,95.61470578800001,7409.932390853437,0
TLS,0.877093,1426.9107670057879,1
TON,0.0,4570.634441099072,1
TTO,0.0,15570.8809895819,1
TUN,76.9105828,3585.930072696964,0
TUR,44.351637499999995,9438.029717970152,0
TUV,0.0,4718.709761349592,1
TZA,20.6671432336,1052.7249666175853,1
UGA,32.15959434,855.0319003618955,0
UKR,36.204484,3419.7419428229077,0
URY,31.483405127999998,17677.44571040078,1
USA,58.4594498,63341.8553380489,1
UZB,90.6345474,1840.006156523858,0
VCT,0.0,8375.980543786249,1
VEN,60.3657458,5568.129300773949,0
VNM,82.3932516722,3418.6448178224236,0
VUT,0.0,3037.736497754866,1
WSM,0.0,4118.571542030631,1
YEM,60.3362438,496.66122339929746,0
ZAF,37.723094856,6650.837947197817,0
ZMB,80.733249538,1258.0421614723073,0
ZWE,80.787080966,1485.431274304962,0
